mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__num_leaves,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_mean_squared_error,split1_test_mean_squared_error,split2_test_mean_squared_error,mean_test_mean_squared_error,std_test_mean_squared_error,rank_test_mean_squared_error,split0_test_spearmanr,split1_test_spearmanr,split2_test_spearmanr,mean_test_spearmanr,std_test_spearmanr,rank_test_spearmanr,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,quantile
89.18691364924113,2.7903903292436207,33.2960159778595,2.4359222633845232,0.2,7,48,"{'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__num_leaves': 48}",0.028733252115828556,0.017307240289589187,0.0021365510317199465,0.016059014479045897,0.010893872219278013,1,-12723.95277149853,-12970.518274640137,-12925.969059138564,-12873.48003509241,107.28454399044516,1,0.8076367755788023,0.8132266690179578,0.7972103995691276,0.8060246147219626,0.006637244344637177,2,-12723.95277149853,-12970.518274640137,-12925.969059138564,-12873.48003509241,107.28454399044516,1,0.05
87.5249690214793,2.5175300165796872,33.89177640279134,1.188459284024855,0.2,7,60,"{'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__num_leaves': 60}",0.019628386334762604,0.01717145700944711,0.0017489491435048743,0.012849597495904863,0.007913171332663421,2,-12843.229872708353,-12972.310472149551,-12930.989916470808,-12915.51008710957,53.82173740422823,2,0.8062274698330243,0.810523749300088,0.7989707494474588,0.8052406561935238,0.004767829853510613,4,-12843.229872708353,-12972.310472149551,-12930.989916470808,-12915.51008710957,53.82173740422823,2,0.05
90.1819981733958,1.646635125689662,32.29807861646017,1.507984366079457,0.2,7,36,"{'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__num_leaves': 36}",0.011560660297628478,0.015887110020093798,0.0006085062412908293,0.009352092186337702,0.0064299954994318596,3,-12948.92006059289,-12989.262511260224,-12945.762809177695,-12961.31512701027,19.803775295561053,3,0.8060665118089263,0.8145105565080368,0.7974438669346227,0.8060069784171953,0.0069675740119197515,3,-12948.92006059289,-12989.262511260224,-12945.762809177695,-12961.31512701027,19.803775295561053,3,0.05
93.23449540138245,3.2476520253503245,33.10521594683329,2.0866354105371996,0.2,11,60,"{'model__learning_rate': 0.2, 'model__max_depth': 11, 'model__num_leaves': 60}",0.007078704718119555,0.026438406316503404,-0.01161080790267488,0.007302101043982693,0.015534329834553245,4,-13007.635332418944,-12849.996418087774,-13104.047468979696,-12987.226406495472,104.71509699444732,4,0.8046115851964586,0.8151785066676582,0.7997361360876883,0.8065087426506018,0.0064454690590438814,1,-13007.635332418944,-12849.996418087774,-13104.047468979696,-12987.226406495472,104.71509699444732,4,0.05
89.07995065053304,1.3856792210110538,32.20013109842936,1.4131855211113131,0.2,5,24,"{'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__num_leaves': 24}",0.0030915360669542258,-0.00665484339055622,-0.009158560761998169,-0.004240622695200054,0.005284415089303759,5,-13059.868712919146,-13286.7927573822,-13072.281929618051,-13139.647799973134,104.17053599871932,5,0.806892558798218,0.8099405869122722,0.7981027224020609,0.8049786227041836,0.00501870651128126,6,-13059.868712919146,-13286.7927573822,-13072.281929618051,-13139.647799973134,104.17053599871932,5,0.05
88.67141699790955,3.703236307855801,32.43443989753723,2.10559001173533,0.2,5,36,"{'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__num_leaves': 36}",0.010732877425638776,-0.01260199970749487,-0.021048588618286068,-0.007639236966714054,0.01344091158841167,6,-12959.764321648052,-13365.289010589284,-13226.301131685808,-13183.784821307716,168.26228696362816,6,0.8064393861349839,0.8074632161903095,0.7960004125647847,0.8033010049633593,0.005179191959057027,11,-12959.764321648052,-13365.289010589284,-13226.301131685808,-13183.784821307716,168.26228696362816,6,0.05
87.64837670326233,2.908983975821081,32.76397697130839,1.8310046620064346,0.2,5,48,"{'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__num_leaves': 48}",0.010732877425638776,-0.01260199970749487,-0.021048588618286068,-0.007639236966714054,0.01344091158841167,6,-12959.764321648052,-13365.289010589284,-13226.301131685808,-13183.784821307716,168.26228696362816,6,0.8064393861349839,0.8074632161903095,0.7960004125647847,0.8033010049633593,0.005179191959057027,11,-12959.764321648052,-13365.289010589284,-13226.301131685808,-13183.784821307716,168.26228696362816,6,0.05
86.06303572654724,3.8361332348721193,33.086249589920044,1.0165102187390782,0.2,5,60,"{'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__num_leaves': 60}",0.010732877425638776,-0.01260199970749487,-0.021048588618286068,-0.007639236966714054,0.01344091158841167,6,-12959.764321648052,-13365.289010589284,-13226.301131685808,-13183.784821307716,168.26228696362816,6,0.8064393861349839,0.8074632161903095,0.7960004125647847,0.8033010049633593,0.005179191959057027,11,-12959.764321648052,-13365.289010589284,-13226.301131685808,-13183.784821307716,168.26228696362816,6,0.05
92.77373353640239,2.852964875763105,32.37679171562195,2.124124633847639,0.2,11,48,"{'model__learning_rate': 0.2, 'model__max_depth': 11, 'model__num_leaves': 48}",-0.015460422396299522,-0.005254444548359993,-0.014179156630329759,-0.011631341191663092,0.004539384583126459,9,-13302.906214017037,-13268.308954998387,-13137.316947104255,-13236.177372039892,71.31750741924976,9,0.8039282972586639,0.8122825879472669,0.7985831396636517,0.8049313416231941,0.005637570062640709,7,-13302.906214017037,-13268.308954998387,-13137.316947104255,-13236.177372039892,71.31750741924976,9,0.05
89.31553951899211,1.4699032764212,30.772839705149334,1.834838553745043,0.2,7,24,"{'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__num_leaves': 24}",-0.014961551266690964,-0.013491294295705725,-0.026055764651154556,-0.018169536737850416,0.005608615807583645,10,-13296.370818147641,-13377.026770528948,-13291.162313385004,-13321.519967353865,39.306793556192375,10,0.8049408514912904,0.81165826317408,0.7989319928934054,0.8051770358529252,0.005198161604753843,5,-13296.370818147641,-13377.026770528948,-13291.162313385004,-13321.519967353865,39.306793556192375,10,0.05
95.45520575841267,2.7885181924308373,24.635871092478435,1.535726547487975,0.2,13,60,"{'model__learning_rate': 0.2, 'model__max_depth': 13, 'model__num_leaves': 60}",-0.02539796730941113,-0.0037088487914067603,-0.03827862215958322,-0.022461812753467036,0.014264946789573945,11,-13433.091719095353,-13247.908704958207,-13449.492872673012,-13376.831098908857,91.4074658006466,11,0.8018797910742027,0.8108678214511343,0.7960491198647689,0.8029322441300354,0.006095310889117195,15,-13433.091719095353,-13247.908704958207,-13449.492872673012,-13376.831098908857,91.4074658006466,11,0.05
92.6754355430603,3.442694663362328,31.98174508412679,2.3179302257131917,0.2,13,36,"{'model__learning_rate': 0.2, 'model__max_depth': 13, 'model__num_leaves': 36}",-0.015328472412531324,-0.028057346124531923,-0.04171498471745094,-0.028366934418171397,0.01077447265803413,12,-13301.177620543283,-13569.28344441634,-13494.006293968187,-13454.822452975937,112.90619482514988,12,0.801248615593025,0.8100664422227146,0.7965681716408485,0.802627743152196,0.005596267910769765,18,-13301.177620543283,-13569.28344441634,-13494.006293968187,-13454.822452975937,112.90619482514988,12,0.05
90.46520471572876,3.2216115007662474,31.799784660339355,1.9028415979556448,0.2,11,24,"{'model__learning_rate': 0.2, 'model__max_depth': 11, 'model__num_leaves': 24}",-0.02958699293764111,-0.01908990129792576,-0.03716730493780651,-0.028614733057791126,0.007412021656078629,13,-13487.969500475503,-13450.922536746075,-13435.097263696227,-13457.996433639268,22.15699089757164,13,0.8013147143319593,0.81073262883794,0.7990714943538884,0.8037062791745958,0.005052075557707986,9,-13487.969500475503,-13450.922536746075,-13435.097263696227,-13457.996433639268,22.15699089757164,13,0.05
92.5171488126119,2.599476716670235,32.08434693018595,2.024589207426036,0.2,11,36,"{'model__learning_rate': 0.2, 'model__max_depth': 11, 'model__num_leaves': 36}",-0.02542361629338985,-0.029722112335844653,-0.03307213267315401,-0.02940595376746284,0.003130486424732434,14,-13433.42773024934,-13591.256620013153,-13382.049855216168,-13468.911401826219,89.01754816003877,14,0.8011562105931318,0.8105980764882965,0.7984171979289446,0.8033904950034576,0.0052177562699618025,10,-13433.42773024934,-13591.256620013153,-13382.049855216168,-13468.911401826219,89.01754816003877,14,0.05
92.52720904350281,2.260240324992896,32.227838357289635,1.3097642982491047,0.2,13,24,"{'model__learning_rate': 0.2, 'model__max_depth': 13, 'model__num_leaves': 24}",-0.02863659631471238,-0.027427950027397285,-0.032429479147589424,-0.029498008496566364,0.0021307817963237994,15,-13475.5189540415,-13560.976073166063,-13373.725149470323,-13470.073392225962,76.54178690467946,15,0.8009941719862803,0.8099405554977092,0.7982941585859036,0.8030762953566309,0.004977353282876959,14,-13475.5189540415,-13560.976073166063,-13373.725149470323,-13470.073392225962,76.54178690467946,15,0.05
